date,M2,M1,M0
2013-01-01,992129.25,311228.55,62449.63
2013-02-01,998600.83,296103.24,60313.65
2013-03-01,1035858.37,310898.29,55460.52
2013-04-01,1032551.90,307648.42,55607.15
2013-05-01,1042169.16,310204.48,54431.39
2013-06-01,1054403.69,313499.82,54063.91
2013-07-01,1052212.34,310596.46,54412.78
2013-08-01,1061256.43,314085.91,54925.35
2013-09-01,1077379.16,312330.34,56492.53
2013-10-01,1070242.17,319509.38,55595.72
2013-11-01,1079257.06,324821.92,56441.27
2014-12-01,1106524.98,337291.05,58574.44
