date,high,low,close,price_change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2017-10-24,17.84,17.53,17.79,0.21,17.84,17.53,,
2017-10-23,17.8,17.55,17.58,-0.2,17.84,17.53,,
2017-10-20,17.9,17.68,17.78,-0.01,17.9,17.53,,
2017-10-19,18.01,17.75,17.79,-0.26,18.01,17.53,,
2017-10-18,18.07,17.78,18.05,0.15,18.07,17.53,,
2017-10-17,18.04,17.88,17.9,-0.07,18.07,17.53,1.0,13.6733057851
2017-10-16,18.23,17.95,17.97,-0.03,18.23,17.53,1.0,13.2631066116
2017-10-13,18.1,17.93,18.0,0.0,18.23,17.53,1.0,13.2631066116
2017-10-12,18.1,17.92,18.0,-0.05,18.23,17.53,1.0,12.599951281
2017-10-11,18.23,18.01,18.05,-0.18,18.23,17.53,1.0,10.3319600504
2017-10-10,18.25,17.98,18.23,0.12,18.25,17.53,1.0,11.5717952565
2017-10-09,18.76,18.07,18.11,-0.08,18.76,17.53,1.0,10.6460516359
2017-09-29,18.35,18.03,18.19,0.16,18.76,17.53,1.0,12.3494198977
2017-09-28,18.08,17.95,18.03,0.0,18.76,17.53,1.0,12.3494198977
2017-09-27,18.14,17.89,18.03,0.03,18.76,17.53,1.0,12.7199024946
2017-09-26,18.11,17.96,18.0,-0.08,18.76,17.53,1.0,11.7023102951
2017-09-25,18.17,17.91,18.08,-0.06,18.76,17.53,1.0,11.0001716774
2017-09-22,18.22,17.81,18.14,0.03,18.76,17.53,1.0,11.3301768277
2017-09-21,18.35,18.09,18.11,-0.01,18.76,17.53,1.0,11.2168750594
2017-09-20,18.26,18.08,18.12,-0.04,18.76,17.53,1.0,10.768200057
2017-09-19,18.48,18.08,18.16,-0.22,18.76,17.55,1.0,8.39919604448
2017-09-18,18.44,18.07,18.38,0.35,18.76,17.68,1.0,11.33891466
2017-09-15,18.14,17.78,18.03,0.06,18.76,17.75,1.0,12.0192495396
2017-09-14,18.2,17.88,17.97,0.08,18.76,17.78,1.0,12.9807895028
2017-09-13,17.99,17.81,17.89,-0.02,18.76,17.78,1.0,12.7211737128
2017-09-12,18.22,17.81,17.91,0.13,18.76,17.78,1.0,14.3749262954
2017-09-11,17.97,17.66,17.78,0.01,18.76,17.66,1.0,14.5186755584
2017-09-08,18.03,17.72,17.77,-0.18,18.76,17.66,1.0,11.9053139579
2017-09-07,18.28,17.93,17.95,-0.16,18.76,17.66,1.0,10.0004637246
2017-09-06,18.18,17.89,18.11,-0.08,18.76,17.66,1.0,9.20042662664
2017-09-05,18.35,18.14,18.19,0.01,18.76,17.66,1.0,9.29243089291
2017-09-04,18.35,18.1,18.18,-0.12,18.48,17.66,1.0,8.17733918576
2017-09-01,18.5,18.15,18.3,0.07,18.5,17.66,1.0,8.74975292876
2017-08-31,18.35,17.98,18.23,0.21,18.5,17.66,1.0,10.5872010438
2017-08-30,18.52,17.98,18.02,0.02,18.52,17.66,1.0,10.7989450647
2017-08-29,18.29,17.89,18.0,-0.2,18.52,17.66,1.0,8.63915605174
2017-08-28,18.5,17.27,18.2,1.06,18.52,17.27,1.0,17.7966614666
2017-08-25,17.15,16.6,17.14,0.49,18.52,16.6,1.0,26.5170255852
2017-08-24,16.93,16.64,16.65,-0.26,18.52,16.6,0.0,26.5170255852
2017-08-23,17.08,16.73,16.91,0.14,18.52,16.6,0.0,26.5170255852
2017-08-22,16.87,16.7,16.77,-0.04,18.52,16.6,0.0,26.5170255852
2017-08-21,16.82,16.63,16.81,0.11,18.52,16.6,0.0,26.5170255852
2017-08-18,16.84,16.68,16.7,-0.11,18.52,16.6,0.0,26.5170255852
2017-08-17,17.18,17.03,17.16,0.08,18.52,16.6,0.0,26.5170255852
2017-08-16,17.14,16.9,17.08,0.06,18.52,16.6,0.0,26.5170255852
2017-08-15,17.15,16.95,17.02,-0.03,18.52,16.6,0.0,26.5170255852
2017-08-14,17.1,16.76,17.05,0.18,18.52,16.6,0.0,26.5170255852
2017-08-11,17.13,16.85,16.87,-0.35,18.52,16.6,0.0,26.5170255852
2017-08-10,17.25,16.96,17.22,0.09,18.52,16.6,0.0,26.5170255852
2017-08-09,17.3,17.07,17.13,-0.21,18.52,16.6,0.0,26.5170255852
2017-08-08,17.52,17.13,17.34,0.03,18.52,16.6,0.0,26.5170255852
2017-08-07,17.51,17.27,17.31,-0.25,18.52,16.6,0.0,26.5170255852
2017-08-04,17.86,17.38,17.56,0.06,18.52,16.6,0.0,26.5170255852
2017-08-03,17.77,17.47,17.5,-0.15,18.52,16.6,0.0,26.5170255852
2017-08-02,17.85,17.48,17.65,0.09,18.5,16.6,0.0,26.5170255852
2017-08-01,17.65,17.36,17.56,0.21,18.5,16.6,0.0,26.5170255852
2017-07-31,17.48,17.21,17.35,0.07,17.86,16.6,0.0,26.5170255852
2017-07-28,17.4,17.25,17.28,-0.15,17.86,16.63,0.0,26.5170255852
2017-07-27,17.56,17.21,17.43,-0.08,17.86,16.63,0.0,26.5170255852
2017-07-26,17.57,17.35,17.51,0.09,17.86,16.63,0.0,26.5170255852
2017-07-25,17.61,17.34,17.42,-0.09,17.86,16.63,0.0,26.5170255852
2017-07-24,17.69,17.46,17.51,-0.01,17.86,16.68,0.0,26.5170255852
2017-07-21,17.69,17.44,17.52,-0.09,17.86,16.76,0.0,26.5170255852
2017-07-20,17.83,17.46,17.61,-0.17,17.86,16.76,0.0,26.5170255852
2017-07-19,17.8,16.73,17.78,0.96,17.86,16.73,0.0,26.5170255852
2017-07-18,17.01,16.64,16.82,-0.18,17.86,16.64,0.0,26.5170255852
2017-07-17,17.45,16.97,17.0,-0.38,17.86,16.64,0.0,26.5170255852
2017-07-14,17.52,17.3,17.38,-0.11,17.86,16.64,0.0,26.5170255852
2017-07-13,17.53,17.17,17.49,0.26,17.86,16.64,0.0,26.5170255852
2017-07-12,17.4,17.11,17.23,0.07,17.86,16.64,0.0,26.5170255852
2017-07-11,17.43,17.02,17.16,0.15,17.86,16.64,0.0,26.5170255852
2017-07-10,17.23,16.91,17.01,0.06,17.86,16.64,0.0,26.5170255852
2017-07-07,17.05,16.6,16.95,0.22,17.85,16.6,0.0,26.5170255852
