date,M2,M1,M0
2014-01-01,1123521.21,314900.55,76488.60
2014-02-01,1131760.83,316625.11,62320.95
2014-03-01,1160687.38,327683.74,58329.30
2014-04-01,1168812.67,324482.52,58615.54
2014-05-01,1182293.96,327839.56,58051.11
2014-06-01,1209587.20,341487.45,56951.05
2014-07-01,1194249.24,331347.32,57346.50
2014-08-01,1197499.08,332023.23,57997.61
2014-09-01,1202051.41,327220.21,58844.99
2014-10-01,1199236.31,329617.73,57691.64
2014-11-01,1208605.95,335114.13,58438.53
2014-12-01,1228374.81,348056.41,60259.53
