date,m2,m1,m0
2015-01-01,1.242710e+06,348109.502246,63040.506731
2015-02-01,1.257380e+06,334439.222673,72896.193484
2015-03-01,1.275333e+06,337210.520000,61949.810000
2015-04-01,1.280779e+06,336388.240000,60772.460000
2015-05-01,1.307358e+06,343085.860000,59075.970000
2015-06-01,1.333375e+06,356082.855459,58604.264345
2015-07-01,1.353211e+06,353122.193829,59010.707688
2015-08-01,1.356908e+06,362793.730000,59061.790000
2015-09-01,1.359824e+06,364416.900000,61022.970000
2015-10-01,1.361021e+06,375806.449677,59900.475351
2015-11-01,1.373956e+06,387618.320000,60328.240000
2015-12-01,1.392278e+06,400953.440048,63216.577970
2016-01-01,1.416320e+06,412685.640000,72526.510000
2016-02-01,1.424619e+06,392504.696350,69421.495355
2016-03-01,1.446198e+06,411581.310000,64651.210000
2016-04-01,1.445210e+06,413504.840000,64403.170000
2016-05-01,1.461695e+06,424250.700000,62780.710000
2016-06-01,1.490492e+06,443643.700000,62818.890000
2016-07-01,1.491559e+06,442934.430000,63276.010000
2016-08-01,1.510983e+06,454543.600000,63454.700000
2016-09-01,1.516360e+06,454340.250000,65068.620000
2016-10-01,1.519485e+06,465446.650000,64214.930000
2016-11-01,1.530432e+06,475405.540000,64903.500000
2016-12-01,1.550067e+06,486557.237371,68303.867803
2017-01-01,1.575946e+06,472526.450000,86598.610000
2017-02-01,1.582913e+06,476527.600000,71727.690000
2017-03-01,1.599610e+06,488770.090000,68605.050000
2017-04-01,1.596332e+06,490180.419727,68392.596372
2017-05-01,1.601360e+06,496389.782173,67333.207141
2017-06-01,1.631283e+06,510228.165977,66977.681620
2017-07-01,1.628997e+06,510484.577519,67129.041403
2017-08-01,1.645157e+06,518113.929799,67550.989473
2017-09-01,1.655662e+06,517863.037329,69748.540000
